UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200210-22:53:00.819800,-108.158572,39.01801,3101,238.7,167.3,86.8,-108.054221,39.024741,4912.8,0.8,1.54,44.9
20200210-22:53:00.919800,-108.158665,39.01801,3101,238.5,168.4,87.3,-108.054224,39.024741,4912.8,0.8,1.54,44.9
20200210-22:53:01.019800,-108.158665,39.018103,3101,237.3,167.4,87.6,-108.054228,39.024741,4912.8,0.8,1.54,44.9
20200210-22:53:01.119820,-108.158757,39.018103,3101,238.8,167.1,88.3,-108.054232,39.024742,4912.8,0.8,1.54,44.9
20200210-22:53:01.219820,-108.15885,39.018103,3101,238.7,167.3,88.6,-108.054236,39.024742,4912.8,0.8,1.54,44.9
20200210-22:53:01.319820,-108.158943,39.018103,3101,238.5,167.4,89.1,-108.054239,39.024742,4912.8,0.81,1.54,44.9
20200210-22:53:01.419820,-108.159035,39.018103,3101,239.8,167.4,89.6,-108.054243,39.024742,4912.8,0.8,1.54,44.9
20200210-22:53:01.519820,-108.159128,39.018103,3101,239.4,168.2,89.9,-108.054247,39.024742,4912.8,0.79,1.54,44.9
20200210-22:53:01.619820,-108.159128,39.018103,3101,239.1,167.8,90.7,-108.054251,39.024743,4912.8,0.79,1.54,44.9
20200210-22:53:01.719820,-108.15922,39.018103,3101,238.9,168,91.1,-108.054254,39.024743,4912.8,0.78,1.54,44.9
20200210-22:53:01.819840,-108.159313,39.018103,3101,238.3,169.6,91.4,-108.054258,39.024743,4912.8,0.79,1.55,44.9
20200210-22:53:01.919840,-108.159406,39.018103,3101,239.3,167.9,91.9,-108.054262,39.024743,4912.8,0.79,1.54,44.9
20200210-22:53:02.019840,-108.159498,39.018103,3101,237.5,168.2,92.2,-108.054266,39.024743,4912.8,0.8,1.54,44.9
20200210-22:53:02.119840,-108.159498,39.018103,3101,238.1,168.5,92.3,-108.054269,39.024744,4912.8,0.8,1.54,44.9
20200210-22:53:02.219840,-108.159591,39.018103,3101,237,168.8,92.2,-108.054273,39.024744,4912.8,0.79,1.54,44.9
20200210-22:53:02.319840,-108.159683,39.018195,3101,238.8,169,92.1,-108.054277,39.024744,4912.8,0.79,1.55,44.9
20200210-22:53:02.419840,-108.159776,39.018195,3101,237.2,167.4,92.2,-108.054281,39.024744,4912.8,0.79,1.54,44.9
20200210-22:53:02.519840,-108.159869,39.018195,3101,239.9,169.4,92.2,-108.054284,39.024744,4912.8,0.79,1.54,44.9
20200210-22:53:02.619840,-108.159961,39.018195,3101,241.1,168.6,92,-108.054288,39.024745,4912.8,0.8,1.55,44.9
20200210-22:53:02.719840,-108.159961,39.018195,3101,238.9,169.3,91.4,-108.054292,39.024745,4912.8,0.8,1.55,44.9
20200210-22:53:02.819860,-108.160054,39.018195,3101,241.4,168.2,91,-108.054296,39.024745,4912.8,0.8,1.55,44.9
20200210-22:53:02.919860,-108.160146,39.018195,3101,240.3,168,90.2,-108.0543,39.024745,4912.8,0.79,1.54,44.9
20200210-22:53:03.019860,-108.160239,39.018195,3101,241.1,168.5,89.8,-108.054303,39.024745,4912.7,0.79,1.54,44.9
20200210-22:53:03.119860,-108.160331,39.018195,3101,239.9,168.4,89.4,-108.054307,39.024746,4912.7,0.79,1.55,44.9
20200210-22:53:03.219860,-108.160331,39.018195,3101,239.7,168.6,88.6,-108.054311,39.024746,4912.7,0.8,1.55,44.9
20200210-22:53:03.319860,-108.160424,39.018195,3101,239.3,167.5,87.6,-108.054315,39.024746,4912.7,0.8,1.55,44.9
